,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,health__pct_excessive_drinking,heart_disease_mortality_per_100k
1,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.408,0.057,0.254,0.066,0.516,0.235,0.176,0.109,0.039,0.829,0.004,0.011,0.194223108,0.424302789,0.227091633,0.15438247,12,12,0.297,0.23,0.131,0.089,0.332,13,15.09,1650,1489,a,0.217,319.1609802
2,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.556,0.039,0.26,0.143,0.503,0.272,0.101,0.41,0.07,0.493,0.008,0.015,0.164133739,0.234042553,0.342451874,0.259371834,19,7,0.288,0.19,0.09,0.082,0.265,10,19.79,2010,2480,a,0.183,254.5135803
3,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.202,0.198,0.479,0.013,0.085,0.158572844,0.237859267,0.186323092,0.417244797,12,6,0.212,0.156,0.084,0.098,0.209,10,3.14,629,690,b,0.105,204.7754364
7,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.462,0.088,0.18,0.039,0.507,0.221,0.167,0.034,0.002,0.942,0.004,0,0.109879032,0.425403226,0.326612903,0.138104839,10,10,0.305,0.205,0.11,0.07,0.282,12,18.55,3100,3689,b,0.169,284.1059875
8,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.053,0.224,0.681,0.004,0.023,0.12286002,0.315206445,0.364551863,0.197381672,12,10,0.317,0.264,0.131,0.092,0.277,13,22.27,2800,1790,a,0.186,306.8711548
9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.015,0.719,0.257,0.008,0.005,0.292134831,0.278855975,0.287027579,0.141981614,12,10,0.417,0.208,0.127,0.139,0.373,12,22.78,3990,3549,a,0.083,414.1199036
11,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.476,0.028,0.252,0.166,0.492,0.255,0.178,0.061,0.005,0.868,0.05,0,0.094674556,0.387573964,0.310650888,0.207100592,13,10,0.314,0.416,0.12,0.066,0.394,10,44.1,3780,3700,b,0.123,318.4192505
13,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.417,0.087,0.243,0.089,0.497,0.215,0.219,0.009,0.004,0.961,0.004,0,0.228456914,0.436873747,0.248496994,0.086172345,9,15,0.346,0.22,0.126,0.071,0.343,11,49.02,1119,1640,b,0.126,328.4200439
15,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.456,0.065,0.247,0.081,0.488,0.188,0.18,0.044,0.216,0.738,0.006,0.003,0.193711968,0.495943205,0.206896552,0.103448276,9,13,0.337,0.348,0.12,0.107,0.364,12,51.35,709,5140,b,0.14,319.4480286
16,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.446,0.049,0.318,0.147,0.497,0.233,0.192,0.101,0.029,0.855,0.007,0,0.182358771,0.35877106,0.308225966,0.150644202,11,11,0.312,0.206,0.117,0.078,0.327,10,35.65,3790,7530,b,0.149,336.1398315
17,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.459,0.07,0.215,0.054,0.536,0.241,0.128,0.036,0.55,0.375,0.009,0.019,0.143856144,0.260739261,0.284715285,0.310689311,14,9,0.362,0.185,0.137,0.117,0.287,13,14.94,1680,1119,b,0.181,285.8365173
18,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.448,0.044,0.377,0.2,0.508,0.211,0.246,0.543,0.004,0.435,0.018,0.002,0.211519364,0.285998014,0.253227408,0.249255214,13,15,0.294,0.48,0.113,0.095,0.289,10,51.35,4179,5579,a,0.129,230.1020355
19,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.527,0.085,0.274,0.153,0.466,0.256,0.093,0.041,0.001,0.697,0.14,0.04,0.073194857,0.269040554,0.366963403,0.290801187,15,7,0.303,0.234,0.058,0.056,0.236,8,44.1,2439,1379,a,0.161,226.9227753
20,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.427,0.083,0.231,0.084,0.517,0.268,0.171,0.056,0.107,0.813,0,0.002,0.26401631,0.391437309,0.224260958,0.120285423,14,14,0.337,0.307,0.121,0.107,0.385,13,23.16,3169,1759,a,0.109,370.4248352
21,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.504,0.04,0.172,0.074,0.513,0.248,0.181,0.027,0,0.947,0.011,0.007,0.092353525,0.476663357,0.279046673,0.151936445,12,12,0.323,0.176,0.121,0.068,0.262,13,11.27,3639,2039,b,0.084,254.3718414
22,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.404,0.08,0.213,0.082,0.479,0.171,0.222,0.105,0.025,0.814,0.029,0.016,0.097,0.293,0.402,0.208,9,14,0.232,0.194,0.092,0.052,0.205,10,16.46,939,1080,a,0.184,245.0461121
23,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.559,0.027,0.153,0.062,0.497,0.228,0.199,0.023,0.008,0.954,0.014,0,0.076076076,0.362362362,0.344344344,0.217217217,11,14,0.311,0.173,0.089,0.056,0.306,12,110.45,8360,4150,a,0.157,256.2577209
25,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.464,0.053,0.145,0.043,0.516,0.228,0.169,0.082,0.188,0.703,0.003,0.009,0.126252505,0.341683367,0.336673347,0.195390782,11,11,0.38,0.192,0.114,0.104,0.266,12,11.42,1570,1170,a,0.172,271.7857056
26,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.438,0.06,0.199,0.05,0.494,0.283,0.129,0.03,0.009,0.947,0.001,0,0.178247734,0.444108761,0.255790534,0.121852971,14,9,0.362,0.273,0.117,0.086,0.307,13,26.12,3529,1879,a,0.165,320.0359802
