,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
1,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.556,0.039,0.26,0.143,0.503,0.272,0.101,0.41,0.07,0.493,0.008,0.015,0.164133739,0.234042553,0.342451874,0.259371834,19,7,0.288,0.19,0.09,0.082,0.265,10,19.79,2010,2480,a,257,0.181
2,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.202,0.198,0.479,0.013,0.085,0.158572844,0.237859267,0.186323092,0.417244797,12,6,0.212,0.156,0.084,0.098,0.209,10,3.14,629,690,b,195,0.195
3,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.471,0.05,0.225,0.103,0.511,0.237,0.171,0.025,0.008,0.953,0.003,0,0.122367101,0.413239719,0.306920762,0.157472417,14,12,0.284,0.234,0.137,0.07,0.29,9,29.39,3489,2590,a,355,0.194
4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.022,0.046,0.903,0.002,0.006,0.137755102,0.294897959,0.280612245,0.286734694,11,8,0.283,0.22,0.112,0.089,0.272,13,13.74,2439,1540,a,288,0.067
5,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.462,0.088,0.18,0.039,0.507,0.221,0.167,0.034,0.002,0.942,0.004,0,0.109879032,0.425403226,0.326612903,0.138104839,10,10,0.305,0.205,0.11,0.07,0.282,12,18.55,3100,3689,b,283,0.193
6,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.053,0.224,0.681,0.004,0.023,0.12286002,0.315206445,0.364551863,0.197381672,12,10,0.317,0.264,0.131,0.092,0.277,13,22.27,2800,1790,a,315,0.13
7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.015,0.719,0.257,0.008,0.005,0.292134831,0.278855975,0.287027579,0.141981614,12,10,0.417,0.208,0.127,0.139,0.373,12,22.78,3990,3549,a,426,0.106
8,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.371,0.044,0.241,0.11,0.489,0.347,0.121,0.014,0,0.426,0.546,0.004,0.153694581,0.323152709,0.374384236,0.148768473,21,10,0.332,0.341,0.101,0.073,0.333,9,63.15,3250,5579,a,309,0.214
9,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.432,0.051,0.199,0.044,0.504,0.212,0.195,0.014,0.042,0.915,0.008,0.002,0.204343534,0.356367226,0.296150049,0.143139191,8,13,0.302,0.246,0.144,0.09,0.303,13,23.37,6549,3710,a,300,0.15
10,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.489,0.054,0.26,0.096,0.502,0.229,0.137,0.443,0.015,0.455,0.029,0.058,0.20221328,0.179074447,0.292756539,0.325955734,13,7,0.195,0.11,0.067,0.053,0.142,7,8.78,1330,1289,a,213,0.174
11,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.446,0.049,0.318,0.147,0.497,0.233,0.192,0.101,0.029,0.855,0.007,0,0.182358771,0.35877106,0.308225966,0.150644202,11,11,0.312,0.206,0.117,0.078,0.327,10,35.65,3790,7530,b,337,0.101
12,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.459,0.07,0.215,0.054,0.536,0.241,0.128,0.036,0.55,0.375,0.009,0.019,0.143856144,0.260739261,0.284715285,0.310689311,14,9,0.362,0.185,0.137,0.117,0.287,13,14.94,1680,1119,b,276,0.144
13,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.448,0.044,0.377,0.2,0.508,0.211,0.246,0.543,0.004,0.435,0.018,0.002,0.211519364,0.285998014,0.253227408,0.249255214,13,15,0.294,0.48,0.113,0.095,0.289,10,51.35,4179,5579,a,204,0.186
